realization,selection_seed,subset_size_specimens,subset_images,specimen,nested_rank,material,subset_manifest,subset_manifest_sha256,material_counts_json,test_payload_accessed
R1,63001,14,448,1505_C_718_45_2cycle,14,INCONEL,data/manifests/w14/R1_n14.csv,f7bb5222efed3d2174ec8f629bb656977f41efe2a22784478c46ebef326a29c2,"{""INCONEL"": 10, ""SUS"": 4}",False
R1,63001,28,896,1538_C_718_90_1cycle,1,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1399_C_sus_90_1cycle,2,SUS,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1388_C_sus_45_3cycle,3,SUS,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1456_C_718_0_1cycle,4,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1444_C_718_0_1cycle,5,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1441_C_718_0_1cycle,6,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1390_C_sus_45_3cycle,7,SUS,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1469_C_718_0_2cycle,8,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1501_C_718_45_1cycle,9,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1476_C_718_0_3cycle,10,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1392_C_sus_45_3cycle,11,SUS,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1461_C_718_0_2cycle,12,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1473_C_718_0_3cycle,13,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1505_C_718_45_2cycle,14,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1447_C_718_0_1cycle,15,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1488_C_718_0_3cycle,16,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1382_C_sus_45_3cycle,17,SUS,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1391_C_sus_45_3cycle,18,SUS,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1499_C_718_45_1cycle,19,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1480_C_718_0_3cycle,20,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1401_C_sus_90_1cycle,21,SUS,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1381_C_sus_45_3cycle,22,SUS,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1491_C_718_45_1cycle,23,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1497_C_718_45_1cycle,24,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1482_C_718_0_3cycle,25,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1548_C_718_90_1cycle,26,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1522_C_718_45_3cycle,27,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,28,896,1451_C_718_0_1cycle,28,INCONEL,data/manifests/w14/R1_n28.csv,f9f6171166b2942073cf2b9c21ec130d4914896bb339084c0946fb7eea9f2ea3,"{""INCONEL"": 20, ""SUS"": 8}",False
R1,63001,56,1792,1538_C_718_90_1cycle,1,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1399_C_sus_90_1cycle,2,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1388_C_sus_45_3cycle,3,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1456_C_718_0_1cycle,4,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1444_C_718_0_1cycle,5,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1441_C_718_0_1cycle,6,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1390_C_sus_45_3cycle,7,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1469_C_718_0_2cycle,8,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1501_C_718_45_1cycle,9,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1476_C_718_0_3cycle,10,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1392_C_sus_45_3cycle,11,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1461_C_718_0_2cycle,12,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1473_C_718_0_3cycle,13,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1505_C_718_45_2cycle,14,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1447_C_718_0_1cycle,15,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1488_C_718_0_3cycle,16,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1382_C_sus_45_3cycle,17,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1391_C_sus_45_3cycle,18,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1499_C_718_45_1cycle,19,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1480_C_718_0_3cycle,20,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1401_C_sus_90_1cycle,21,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1381_C_sus_45_3cycle,22,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1491_C_718_45_1cycle,23,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1497_C_718_45_1cycle,24,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1482_C_718_0_3cycle,25,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1548_C_718_90_1cycle,26,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1522_C_718_45_3cycle,27,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1451_C_718_0_1cycle,28,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1493_C_718_45_1cycle,29,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1492_C_718_45_1cycle,30,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1443_C_718_0_1cycle,31,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1452_C_718_0_1cycle,32,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1394_C_sus_90_1cycle,33,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1481_C_718_0_3cycle,34,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1380_C_sus_45_3cycle,35,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1544_C_718_90_1cycle,36,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1514_C_718_45_2cycle,37,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1532_C_718_45_3cycle,38,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1490_C_718_45_1cycle,39,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1489_C_718_45_1cycle,40,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1386_C_sus_45_3cycle,41,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1495_C_718_45_1cycle,42,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1455_C_718_0_1cycle,43,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1543_C_718_90_1cycle,44,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1463_C_718_0_2cycle,45,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1438_C_sus_90_3cycle,46,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1525_C_718_45_3cycle,47,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1458_C_718_0_2cycle,48,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1535_C_718_45_3cycle,49,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1439_C_sus_90_3cycle,50,SUS,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1527_C_718_45_3cycle,51,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1533_C_718_45_3cycle,52,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1542_C_718_90_1cycle,53,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1502_C_718_45_1cycle,54,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1475_C_718_0_3cycle,55,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R1,63001,56,1792,1523_C_718_45_3cycle,56,INCONEL,data/manifests/w14/R1_n56.csv,e52d9ee96858c4129377577a21ef8c631c20f81e86c2d761faa79c164bfae296,"{""INCONEL"": 43, ""SUS"": 13}",False
R2,63002,14,448,1461_C_718_0_2cycle,1,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1386_C_sus_45_3cycle,2,SUS,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1456_C_718_0_1cycle,3,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1388_C_sus_45_3cycle,4,SUS,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1476_C_718_0_3cycle,5,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1548_C_718_90_1cycle,6,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1505_C_718_45_2cycle,7,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1457_C_718_0_2cycle,8,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1423_C_sus_90_2cycle,9,SUS,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1502_C_718_45_1cycle,10,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1392_C_sus_45_3cycle,11,SUS,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1441_C_718_0_1cycle,12,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1481_C_718_0_3cycle,13,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,14,448,1443_C_718_0_1cycle,14,INCONEL,data/manifests/w14/R2_n14.csv,5bc0f03113aefcadb08a33b16c1fde588241892720ac048869e4f53eb24e8058,"{""INCONEL"": 10, ""SUS"": 4}",False
R2,63002,28,896,1461_C_718_0_2cycle,1,INCONEL,data/manifests/w14/R2_n28.csv,687cf4a5e50620a18c9d710a9f840456bc428b83e9464c86d03e9b7ba0354e9b,"{""INCONEL"": 19, ""SUS"": 9}",False
R2,63002,28,896,1386_C_sus_45_3cycle,2,SUS,data/manifests/w14/R2_n28.csv,687cf4a5e50620a18c9d710a9f840456bc428b83e9464c86d03e9b7ba0354e9b,"{""INCONEL"": 19, ""SUS"": 9}",False
R2,63002,28,896,1456_C_718_0_1cycle,3,INCONEL,data/manifests/w14/R2_n28.csv,687cf4a5e50620a18c9d710a9f840456bc428b83e9464c86d03e9b7ba0354e9b,"{""INCONEL"": 19, ""SUS"": 9}",False
R2,63002,28,896,1388_C_sus_45_3cycle,4,SUS,data/manifests/w14/R2_n28.csv,687cf4a5e50620a18c9d710a9f840456bc428b83e9464c86d03e9b7ba0354e9b,"{""INCONEL"": 19, ""SUS"": 9}",False
R2,63002,28,896,1476_C_718_0_3cycle,5,INCONEL,data/manifests/w14/R2_n28.csv,687cf4a5e50620a18c9d710a9f840456bc428b83e9464c86d03e9b7ba0354e9b,"{""INCONEL"": 19, ""SUS"": 9}",False
R2,63002,28,896,1548_C_718_90_1cycle,6,INCONEL,data/manifests/w14/R2_n28.csv,687cf4a5e50620a18c9d710a9f840456bc428b83e9464c86d03e9b7ba0354e9b,"{""INCONEL"": 19, ""SUS"": 9}",False
